region,gdp_growth,employment_rate,property_appreciation,builder_accessibility,international_accessibility,last_updated
indonesia,5.30741934775764,3.462,,,,2025-06-25
malaysia,8.86182187578046,3.93,,,,2025-06-25
chile,2.05874008095333,8.249,,,,2025-06-25
bolivia,3.60568038279472,3.552,,,,2025-06-25
peru,2.72550021563363,3.85,,,,2025-06-25
argentina,5.26987967384072,6.805,,,,2025-06-25
dhekelia sovereign base area,NULL,NULL,,,,2025-06-25
cyprus,7.36562252428676,6.806,,,,2025-06-25
india,6.9870393257555,4.822,,,,2025-06-25
china,2.95066992959268,4.98,,,,2025-06-25
israel,6.47037150232485,3.695,,,,2025-06-25
palestine,NULL,NULL,,,,2025-06-25
lebanon,-0.621678970663112,11.6,,,,2025-06-25
ethiopia,5.32117628383672,3.409,,,,2025-06-25
south sudan,-10.7933646271143,12.545,,,,2025-06-25
somalia,2.72711429582988,19.05,,,,2025-06-25
kenya,4.85998104287999,5.707,,,,2025-06-25
malawi,0.921115069005936,5.037,,,,2025-06-25
united republic of tanzania,NULL,NULL,,,,2025-06-25
syria,NULL,NULL,,,,2025-06-25
somaliland,NULL,NULL,,,,2025-06-25
france,2.57084047443969,7.308,,,,2025-06-25
suriname,2.40622235601218,8.16,,,,2025-06-25
guyana,63.3345871591983,12.013,,,,2025-06-25
south korea,NULL,NULL,,,,2025-06-25
north korea,NULL,NULL,,,,2025-06-25
morocco,1.52720357976111,9.494,,,,2025-06-25
western sahara,NULL,NULL,,,,2025-06-25
costa rica,4.55149177958398,11.325,,,,2025-06-25
nicaragua,3.75228475736668,4.961,,,,2025-06-25
republic of the congo,NULL,NULL,,,,2025-06-25
democratic republic of the congo,NULL,NULL,,,,2025-06-25
bhutan,5.21386781145085,5.947,,,,2025-06-25
ukraine,-28.7585842132117,9.834,,,,2025-06-25
belarus,-4.65839591573591,3.574,,,,2025-06-25
namibia,5.34966408559102,19.695,,,,2025-06-25
south africa,1.91147996033504,33.268,,,,2025-06-25
saint martin,NULL,NULL,,,,2025-06-25
sint maarten,NULL,NULL,,,,2025-06-25
oman,9.5771061309605,3.3,,,,2025-06-25
uzbekistan,6.00134232206508,4.49,,,,2025-06-25
kazakhstan,3.19999999970734,4.86,,,,2025-06-25
tajikistan,8.00000033846364,11.634,,,,2025-06-25
